_id	name	type	category	subcategory	derived_type	guessed_type
68109e5ececd66abf4727f67	BEST ZMA - 120 CAPS		COMPLÉMENTS ALIMENTAIRES	ZMA	Capsule	Capsule
68109e5ececd66abf4727f68	Vita Core 60 Caps		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Capsule
68109e5ececd66abf4727f6a	ZMA PRO – 90 CAPS		COMPLÉMENTS ALIMENTAIRES	ZMA	Capsule	Capsule
68109e5ececd66abf4727f6c	JOIN FLEX 120 TABS		COMPLÉMENTS ALIMENTAIRES	Mineraux		Tablet
68109e5ececd66abf4727f6d	OMEGA 3		COMPLÉMENTS ALIMENTAIRES	Omega 3	Capsule	
68109e5ececd66abf4727f6e	GLUTAMINE SHOCK 500 G		COMPLÉMENTS ALIMENTAIRES	Glutamine	Powder	Powder
68109e5ececd66abf4727f6f	Elite Arginine – 120 Capsulas		COMPLÉMENTS ALIMENTAIRES	L-arginine		Capsule
68109e5ececd66abf4727f70	L-GLUTAMINE GLUTA PURE – 400G		COMPLÉMENTS ALIMENTAIRES	Glutamine	Powder	Powder
68109e5ececd66abf4727f71	CitruArgin - 300 G		COMPLÉMENTS ALIMENTAIRES	Citrulline	Powder	Powder
68109e5ececd66abf4727f72	BCAA 12.000 457 G		COMPLÉMENTS ALIMENTAIRES	Bcaa	Powder	Powder
68109e5ececd66abf4727f73	BCAA 8:1:1  400G - REAL PHARM		COMPLÉMENTS ALIMENTAIRES	Bcaa	Powder	Powder
68109e5ececd66abf4727f74	EAA – 420 G		COMPLÉMENTS ALIMENTAIRES	EAA	Powder	Powder
68109e5ececd66abf4727f75	ZINC – 90 TAB – REAL PHARM		COMPLÉMENTS ALIMENTAIRES	Zinc		Tablet
68109e5ececd66abf4727f76	MUSCLE ON - 1KG - REAL PHARM		PRISE DE MASSE	Gainers Riches en Protéines	Powder	Powder
68109e5ececd66abf4727f77	ISOLATE PROTEIN SUPREME 1.8 KG		PROTÉINES	Isolat de Whey	Powder	Powder
68109e5ececd66abf4727f78	PURE WHEY ISOLATE 95 – 2.2KG		PROTÉINES	Isolat de Whey	Powder	Powder
68109e5ececd66abf4727f79	PROTEIN VEGAN – 2KG		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf4727f7a	WHEY PROTEIN 2.27 KG		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf4727f7b	WHEY 80 – 2,25 KG		PROTÉINES	Protéines Complètes	Powder	Powder
68109e5ececd66abf4727f7c	NITRO TECH WHEY GOLD – 2,3KG		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf4727f7d	MAX MASS 3XL – 6KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4727f7e	REAL MASS – 6.8 KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4727f7f	CARBO-Z  MASS GAINER - 3 KG		PRISE DE MASSE	Gainers Haute Énergie	Powder	Powder
68109e5ececd66abf4727f80	THE SHADOW – 270G		COMPLÉMENTS D'ENTRAÎNEMENT	Pré-workout	Powder	Powder
68109e5ececd66abf4727f81	ANIMAL CUTS NO-STIM POWDER – 42 DOSES		PERTE DE POIDS	Brûleurs de Graisse		Powder
68109e5ececd66abf4727f82	ANIMAL PAK - 44 PACKS		COMPLÉMENTS ALIMENTAIRES	Vitamines	Capsule	Pack
68109e5ececd66abf4727f83	CEINTURE DOS DE MUSCULATION		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Ceinture de Musculation	Accessory	Accessory
68109e5ececd66abf4727f84	SHAKER KONG – 700ML		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Shakers et Bouteilles Sportives	Accessory	Accessory
68109e5ececd66abf4727f85	100 WHEY - 2KG		PROTÉINES	Protéine Whey	Powder	Powder
